transgenic cells	transgenic cell	cell
transgenic durum wheat line	transgenic durum_wheat line	line
Transgenic plants	Transgenic plants	plants
Transgressive segregants	transgressive segregants	segregants
transgressive segregation	transgressive segregation	segregation
translocated 4A	translocate 4A	4A
translocated chromosomal segment	translocate chromosomal segment	segment
translocated chromosome segment	translocate chromosome segment	segment
translocated chromosomes	translocate chromosome	chromosome
translocated Th	translocate th	th
translocation break	translocation break	break
translocation chromosome 1RS	translocation chromosome 1RS	1RS
translocation line P98134	translocation line P98134	P98134
translocation lines	translocation line	line
transmission frequency	transmission frequency	frequency
transmission of chromosome 1R	transmission of chromosome 1R	transmission
Transmission	transmission	transmission
transporter gene	transporter gene	gene
transposon	transposon	transposon
TRAP markers	TRAP marker	marker
treated intact leaf tissue	treat intact leaf tissue	tissue
treatments	treatment	treatment
Tremie	Tremie	Tremie
trend	trend	trend
trial combinations	trial combination	combination
triple marker gene cassette	triple marker gene cassette	cassette
triple rust resistant wheat cultivars	triple rust resistant wheat cultivar	cultivar
triticale embryos	triticale embryo	embryo
triticale genotypes	triticale genotype	genotype
triticale grains	triticale grain	grain
triticale lines	triticale line	line
triticale plants	triticale plants	plants
triticale transgenic lines	triticale transgenic line	line
Triticion aestivum L	Triticion aestivum L	L
Tritictan turgidum var. durum	Tritictan turgidum var. durum	durum
Triticum aestivtium L	Triticum aestivtium L	L
Triticum aestivum cultivars	Triticum_aestivum cultivar	cultivar
Triticum aestivum L. em Thell	Triticum_aestivum_L. em Thell	Thell
Triticum aestivum L. ssp. spelta	Triticum_aestivum_L. ssp. spelta	spelta
Triticum aestivum L. 'Taigu'	Triticum_aestivum_L. 'Taigu'	'Taigu'
Triticum aestivum L	Triticum_aestivum L	L
Triticum dicoccoides Koern	Triticum_dicoccoides Koern	Koern
Triticum durum L	Triticum_durum L	L
Triticum monococcum L	Triticum_monococcum L	L
Triticum monococcum	Triticum_monococcum	Triticum_monococcum
Triticum spelta L	Triticum_spelta L	L
Triticum speltoides	Triticum_speltoides	Triticum_speltoides
Triticum tauschii	Triticum_tauschii	Triticum_tauschii
TRITICUM	TRITICUM	TRITICUM
Triticum turgidum ssp. dicoccoides accession	Triticum_turgidum ssp. dicoccoides accession	accession
Triticum turgidum	Triticum_turgidum	Triticum_turgidum
Triticum urartu	Triticum_urartu	Triticum_urartu
triuncialis Acc	triuncialis Acc	Acc
triuncialis leaf rust resistance gene	triuncialis leaf rust resistance gene	gene
triuncialis	triuncialis	triuncialis
True resistance	true resistance	resistance
Tsn1 locus	Tsn1 locus	locus
Tsn1 region	Tsn1 region	region
TTKS	TTKS	TTKS
T. turgidum ssp. durum	T._turgidum ssp. durum	durum
T. urartu BAC clone	T._urartu BAC clone	clone
T. urartu gene	T._urartu gene	gene
T vector	T vector	vector
Twelve Chinese	Twelve Chinese	Chinese
Twelve FHB resistant lines	Twelve FHB resistant line	line
type alleles	type allele	allele
type genes	type gene	gene
type II FHB resistance	type II FHB resistance	resistance
Type II FHB resistance	type II FHB resistance	resistance
types of Aimengniu	type of Aimengniu	type
types of resistance	type of resistance	type
UBC825(1000))	UBC825(1000))	UBC825(1000))
UBC844(1100)	UBC844(1100)	UBC844(1100)
UBC873(750))	UBC873(750))	UBC873(750))
UBC880(1100)	UBC880(1100)	UBC880(1100)
UCC	UCC	UCC
Udon noodle quality genotypes	Udon noodle quality genotype	genotype
Udon noodle starch quality	Udon noodle starch quality	quality
Udon noodles	Udon noodle	noodle
Ug99	Ug99	Ug99
UJ RILs	UJ RILs	RILs
UJ	UJ	UJ
UK	UK	UK
'undefeated genic'	'undefeated genic'	genic'
undersirable brown discoloration of bread wheat	undersirable brown discoloration of bread_wheat	discoloration
uninoculated plants	uninoculated plants	plants
unique DNA fragment	unique DNA fragment	fragment
unit cost	unit cost	cost
United Kingdom	United Kingdom	Kingdom
United States	United States	States
unit	unit	unit
universal PCR	universal PCR	PCR
University of Sydney's own rust resistance	University of Sydney's own rust resistance	University
unknown genotype	unknown genotype	genotype
unknown VRN	unknown VRN	VRN
unlinked loci	unlinked locus	locus
unsatisfactory grain processing quality	unsatisfactory grain processing quality	quality
unselected variant	unselected variant	variant
untransformed cells	untransformed cell	cell
Unweighted pair group method	unweighted pair group method	method
update	update	update
UPGMA	UPGMA	UPGMA
urea gels	urea gel	gel
USA environments	USA environment	environment
US cultivars	US cultivar	cultivar
usda	usda	usda
USDA	USDA	USDA
used samples of harvested grain	use sample of harvest grain	sample
useful information	useful information	information
usefullness of Glu	usefullness of Glu	usefullness
useful marker	useful marker	marker
useful method	useful method	method
usefulness of a mutated ALS gene of rice	usefulness of a mutate ALS gene of rice	usefulness
useful tools	useful tool	tool
US elite wheat cultivars	US elite wheat cultivar	cultivar
Use of a novel nonantibiotic triple marker gene cassette	use of a novel nonantibiotic triple marker gene cassette	use
use of a PCR	use of a PCR	use
use of a SCAR marker	use of a SCAR marker	use
use of a set of sequence tagged microsatellite	use of a set of sequence tag microsatellite	use
use of herbicide resistance genes	use of herbicide resistance gene	use
use of marker	use of marker	use
Use of MAS lines	use of MAS line	use
use of molecular markers	use of molecular marker	use
Use of molecular markers	use of molecular marker	use
use of PS	use of PS	use
use of resistant cultivars	use of resistant cultivar	use
use of selectable marker genes	use of selectable marker gene	use
use of selective agents	use of selective agent	use
use of selective genes	use of selective gene	use
Use of this marker	use of this marker	use
use quality determinant	use quality determinant	determinant
use quality of wheat	use quality of wheat	quality
Use	Use	Use
Using linkage analysis Xgwm391	use linkage analysis Xgwm391	Xgwm391
Using patterns of segregation	use pattern of segregation	pattern
Using Southern analysis	use Southern analysis	analysis
usq	usq	usq
Ustilago tritici race T19 resistance	Ustilago_tritici race T19 resistance	resistance
US wheat	US wheat	wheat
utility of Ep	utility of Ep	utility
utilization of GB	utilization of GB	utilization
utilization of molecular markers	utilization of molecular marker	utilization
utilization of PCR	utilization of PCR	utilization
U. tririci race T19	U. tririci race T19	T19
V763	V763	V763
validation of a PCR	validation of a PCR	validation
validation of molecular markers	validation of molecular marker	validation
Validation of molecular markers	validation of molecular marker	validation
validation of STS markers	validation of STS marker	validation
valuable resource	valuable resource	resource
valuable tools	valuable tool	tool
values of selection response	value of selection response	value
variabilis chromosome segments	variabilis chromosome segment	segment
variabilis	variabilis	variabilis
variants CP	variant CP	CP
varietal backgrounds	varietal background	background
varietal chromosome substitution lines of wheat	varietal chromosome substitution line of wheat	line
varietal purity	varietal purity	purity
varietal substitution lines	varietal substitution line	line
varietal substitution	varietal substitution	substitution
Variety Approval of Serbia	variety approval of Serbia	approval
variety identification purposes	variety identification purpose	purpose
variety 'Thatcher'	variety 'Thatcher'	'Thatcher'
var.	var.	var.
vast DNA sequence resources	vast DNA sequence resource	resource
verification	verification	verification
viability	viability	viability
view	view	view
vigor	vigor	vigor
virulence survey	virulence survey	survey
virulent pathotypes of leaf rust	virulent pathotypes of leaf rust	pathotypes
virulent pathotype	virulent pathotype	pathotype
virus titers of infected plants	virus titer of infected plants	titer
virus titer	virus titer	titer
virus translocation	virus translocation	translocation
visible traits	visible trait	trait
viz.	viz.	viz.
vrn	vrn	vrn
washed wheat starch granules	wash wheat starch granule	granule
water	water	water
waxy character	waxy character	character
waxy wheat breeding	waxy wheat breeding	breeding
way ANOVA	way ANOVA	ANOVA
way cross	way cross	cross
way	way	way
wcm41	wcm41	wcm41
weather conditions	weather condition	condition
weight glutenin subunit combination	weight glutenin subunit combination	combination
weight glutenin subunits	weight glutenin subunits	subunits
weight of seed	weight of seed	weight
weight subunits	weight subunits	subunits
WEIGHT	Weight	Weight
Wembley	Wembley	Wembley
western Australia wheat breeding program	western Australia wheat breed program	program
western Canada	western Canada	Canada
western European cultivars Corsaire	western European cultivar Corsaire	Corsaire
WGRC2	WGRC2	WGRC2
WGRC7	WGRC7	WGRC7
wheal diseases	wheal disease	disease
wheatABCT	wheatABCT	wheatABCT
wheat accessions	wheat accession	accession
wheat A genome BAC clone	wheat A genome BAC clone	clone
wheat background	wheat background	background
wheat bread quality	wheat bread quality	quality
wheat breeders	wheat breeder	breeder
Wheat breeders	Wheat breeder	breeder
wheat breeding germplasm	wheat breeding germplasm	germplasm
wheat breeding programmes	wheat breeding programme	programme
wheat breeding program	wheat breed program	program
wheat breeding	wheat breeding	breeding
wheat callus cultures	wheat callus culture	culture
wheat chromatin	wheat chromatin	chromatin
wheat chromosome 1B	wheat chromosome 1B	1B
wheat chromosome 4AL QTL	wheat chromosome 4AL QTL	QTL
wheat chromosome 6A	wheat chromosome 6A	6A
WHEAT CHROMOSOME 6A	WHEAT CHROMOSOME 6A	6A
wheat chromosome arm	wheat chromosome arm	arm
wheat chromosomes 7A	wheat chromosome 7A	7A
wheat cultivar Moro	wheat cultivar Moro	Moro
wheat cultivar Nanda	wheat cultivar Nanda	Nanda
wheat cultivars Hussar	wheat cultivar Hussar	Hussar
wheat cultivars PH132	wheat cultivar PH132	PH132
wheat cultivars PH85	wheat cultivar PH85	PH85
wheat cultivars Siria	wheat cultivar Siria	Siria
wheat cultivar subset	wheat cultivar subset	subset
wheat cultivars Wang	wheat cultivar Wang	Wang
wheat dihaploid lines	wheat dihaploid line	line
wheat disease of worldwide importance	wheat disease of worldwide importance	disease
Wheat DNA amplification	Wheat DNA amplification	amplification
wheat DNA	wheat DNA	DNA
wheat experience	wheat experience	experience
wheat field	wheat field	field
wheat genetics	wheat genetics	genetics
wheat gene	wheat gene	gene
wheat genome structure information	wheat genome structure information	information
wheat genomic library	wheat genomic library	library
Wheat genotypes	Wheat genotype	genotype
Wheat grain protein content	Wheat grain protein content	content
wheat grain quality traits	wheat grain quality trait	trait
wheat group	wheat group	group
Wheat head blight	Wheat head blight	blight
wheat high	wheat high	high
WHEAT HIGH	WHEAT High	High
wheat improvement	wheat improvement	improvement
